,Soggetti,Predizione,Soggetto reale,Test
0,8118,0.9997954964637756,8118,1
1,11112,3.476658821455203e-05,8118,1
2,41211,3.3660122426226735e-05,8118,1
3,2114,2.5392128009116277e-05,8118,1
4,51247,2.426383798592724e-05,8118,1
5,,,,
6,8116,0.9978333115577698,8116,2
7,52254,0.0011352685978636146,8116,2
8,62233,0.00028021939215250313,8116,2
9,1125,0.00027579028392210603,8116,2
10,41112,7.570409070467576e-05,8116,2
11,,,,
12,21213,0.7780659198760986,8115,3
13,4225,0.1359274536371231,8115,3
14,8118,0.020931605249643326,8115,3
15,51232,0.017889942973852158,8115,3
16,2111,0.009251312352716923,8115,3
17,,,,
18,8113,0.22098873555660248,8113,4
19,51246,0.18115615844726562,8113,4
20,3116,0.14045225083827972,8113,4
21,51195,0.11663571745157242,8113,4
22,61227,0.10009068995714188,8113,4
23,,,,
24,12213,0.40697523951530457,8112,5
25,61223,0.3589157462120056,8112,5
26,8112,0.10384000837802887,8112,5
27,8122,0.03544655069708824,8112,5
28,8225,0.025311477482318878,8112,5
29,,,,
30,21213,0.7434902191162109,8114,6
31,8114,0.16969287395477295,8114,6
32,51191,0.041957490146160126,8114,6
33,51232,0.03887144476175308,8114,6
34,41111,0.003673799801617861,8114,6
35,,,,
36,8111,0.9164324998855591,8111,7
37,2121,0.044438280165195465,8111,7
38,12213,0.019850367680191994,8111,7
39,71217,0.009311535395681858,8111,7
40,72214,0.005196681246161461,8111,7
41,,,,
42,8117,0.9966627955436707,8117,8
43,51241,0.0009882886661216617,8117,8
44,71210,0.00045952812070026994,8117,8
45,51274,0.0004239896370563656,8117,8
46,32110,0.0003956188738811761,8117,8
47,,,,
48,8126,0.9912240505218506,8126,9
49,32118,0.0019389399094507098,8126,9
50,6121,0.0017361758509650826,8126,9
51,41112,0.0010009040124714375,8126,9
52,51253,0.0008617806015536189,8126,9
53,,,,
54,4129,0.5751467347145081,8125,10
55,8125,0.16840821504592896,8125,10
56,72213,0.10712786763906479,8125,10
57,7128,0.028741955757141113,8125,10
58,61221,0.021703658625483513,8125,10
59,,,,
60,7228,0.4625432789325714,8124,11
61,22218,0.29404935240745544,8124,11
62,2112,0.19175533950328827,8124,11
63,21213,0.01005057618021965,8124,11
64,2217,0.009092668071389198,8124,11
65,,,,
66,8123,0.8554338216781616,8123,12
67,1125,0.0487840510904789,8123,12
68,42114,0.024433337152004242,8123,12
69,51226,0.023092836141586304,8123,12
70,2111,0.011380353011190891,8123,12
71,,,,
72,8121,0.27222317457199097,8121,13
73,8223,0.22274236381053925,8121,13
74,8127,0.1510225087404251,8121,13
75,72214,0.12861192226409912,8121,13
76,12112,0.03948907181620598,8121,13
77,,,,
78,7225,0.8287506103515625,8122,14
79,4128,0.06554035097360611,8122,14
80,8112,0.029415937140583992,8122,14
81,7127,0.0191216841340065,8122,14
82,2225,0.012657682411372662,8122,14
83,,,,
84,32110,0.42173245549201965,8127,15
85,52270,0.21680912375450134,8127,15
86,8128,0.1224694773554802,8127,15
87,2116,0.11232506483793259,8127,15
88,71111,0.05251271650195122,8127,15
89,,,,
90,51282,0.33055025339126587,8129,16
91,2212,0.17681019008159637,8129,16
92,2114,0.1001816913485527,8129,16
93,4127,0.09710747748613358,8129,16
94,62218,0.07967378199100494,8129,16
95,,,,
96,8226,0.39780518412590027,8128,17
97,7228,0.3015121519565582,8128,17
98,2217,0.054991401731967926,8128,17
99,2227,0.0485488660633564,8128,17
100,8128,0.04504527896642685,8128,17
101,,,,
102,8216,0.8455308675765991,8216,18
103,7225,0.0949450433254242,8216,18
104,41111,0.012981477193534374,8216,18
105,22214,0.007732403930276632,8216,18
106,31113,0.006544288247823715,8216,18
107,,,,
108,8215,0.9315065741539001,8215,19
109,71114,0.03192213177680969,8215,19
110,8213,0.021814413368701935,8215,19
111,52152,0.003937237896025181,8215,19
112,7211,0.003931005951017141,8215,19
113,,,,
114,52230,0.1941811591386795,8212,20
115,72214,0.12138614803552628,8212,20
116,7227,0.0817897766828537,8212,20
117,1229,0.06877458840608597,8212,20
118,2227,0.05979560688138008,8212,20
119,,,,
120,12213,0.3370269536972046,8213,21
121,8213,0.14397600293159485,8213,21
122,4222,0.09253474324941635,8213,21
123,31127,0.07753164321184158,8213,21
124,32211,0.05321060121059418,8213,21
125,,,,
126,6122,0.4100227653980255,8214,22
127,21210,0.2925316393375397,8214,22
128,8214,0.20910143852233887,8214,22
129,8127,0.03963325917720795,8214,22
130,8227,0.020627908408641815,8214,22
131,,,,
132,8122,0.18793419003486633,8211,23
133,51292,0.15908099710941315,8211,23
134,8211,0.08511033654212952,8211,23
135,8127,0.04500501602888107,8211,23
136,61223,0.0449264757335186,8211,23
137,,,,
138,61223,0.22379092872142792,8217,24
139,4124,0.1734563261270523,8217,24
140,4219,0.1439976841211319,8217,24
141,7213,0.1223260834813118,8217,24
142,2117,0.05203034356236458,8217,24
143,,,,
144,51247,0.7993263602256775,8218,25
145,41111,0.049496278166770935,8218,25
146,61213,0.043869972229003906,8218,25
147,72113,0.037877798080444336,8218,25
148,12213,0.021586814895272255,8218,25
149,,,,
150,61118,0.6013454794883728,8226,26
151,8127,0.15645737946033478,8226,26
